SCTP_Name,Coordinates,lat,lon,SCTP_ID,geometry
Nagole," 17°23'23.38""N, 78°33'32.79""E",17.38982777777778,78.55910833333333,0,POINT (78.55910833333333 17.38982777777778)
Devender Nagar," 17°23'11.62""N, 78°32'49.63""E",17.38656111111111,78.54711944444445,1,POINT (78.54711944444445 17.38656111111111)
Mallapur," 17°26'43.89""N, 78°34'28.81""E",17.445525,78.57466944444444,2,POINT (78.57466944444444 17.445525)
Saket," 17°29'43.13""N, 78°34'47.31""E",17.49531388888889,78.57980833333333,3,POINT (78.57980833333333 17.49531388888889)
Auto Nagar," 17°20'57.70""N, 78°34'51.10""E",17.34936111111111,78.5808611111111,4,POINT (78.5808611111111 17.34936111111111)
Hasthinapuram," 17°19'51.46""N, 78°32'16.51""E",17.33096111111111,78.53791944444444,5,POINT (78.53791944444444 17.33096111111111)
IBT," 17°22'29.76""N, 78°28'55.46""E",17.374933333333335,78.48207222222223,6,POINT (78.48207222222223 17.374933333333335)
Kattedan," 17°18'42.45""N, 78°25'59.89""E",17.311791666666668,78.43330277777778,7,POINT (78.43330277777778 17.311791666666668)
Mir Alam Tank," 17°20'12.95""N, 78°26'56.59""E",17.336930555555554,78.44905277777778,8,POINT (78.44905277777778 17.336930555555554)
Bandlaguda," 17°19'1.08""N, 78°27'43.18""E",17.316966666666666,78.46199444444444,9,POINT (78.46199444444444 17.316966666666666)
Ziyaguda," 17°21'59.99""N, 78°26'39.88""E",17.36666388888889,78.44441111111111,10,POINT (78.44441111111111 17.36666388888889)
Jubilee Hills Road No 51," 17°25'35.76""N, 78°23'59.93""E",17.4266,78.39998055555556,11,POINT (78.39998055555556 17.4266)
Peoples Plaza," 17°25'4.89""N, 78°27'51.28""E",17.418025,78.46424444444445,12,POINT (78.46424444444445 17.418025)
Sanath Nagar," 17°27'24.34""N, 78°26'34.98""E",17.45676111111111,78.44305,13,POINT (78.44305 17.45676111111111)
Chacha Nehuru Park,"17°24'7.23""N, 78°27'3.76""E",17.40200833333333,78.45104444444445,14,POINT (78.45104444444445 17.40200833333333)
Lalapet Flyover," 17°26'4.56""N, 78°32'24.52""E",17.4346,78.54014444444444,15,POINT (78.54014444444444 17.4346)
Jalagam Vengal Rao Park," 17°25'25.29""N, 78°26'47.57""E",17.423691666666667,78.44654722222222,16,POINT (78.44654722222222 17.423691666666667)
Singareni Colony," 17°21'0.90""N, 78°31'17.11""E",17.350250000000003,78.52141944444445,17,POINT (78.52141944444445 17.350250000000003)
